x,y,yaw
1454,667,167.57058015814255
1448,668,168.51992403113192
1433,671,169.60197558796298
1410,675,170.8456899206735
1380,681,172.28873653423804
1343,686,173.98084960572885
1301,691,175.98871592908162
1256,695,178.4031661186557
1209,697,178.4031661186557
1160,698,175.58119324088833
1110,695,173.19031531418952
1060,690,171.28135071468813
1013,684,169.72514717010895
968,676,168.43397163746775
928,668,167.3464680730048
895,661,166.4185964082768
869,655,165.6180077815867
852,651,165.6180077815867
